226 :  ['Picea_alcoquiana', 'Picea_torano']
226 :  ['Picea_rubens', 'Picea_smithiana', 'Pinus_sylvestris']
225 :  ['Aegilops_sharonensis', 'Aegilops_comosa', 'Triticum_urartu']
225 :  ['Picea_abies', 'Picea_torano', 'Picea_maximowiczii']
225 :  ['Picea_breweriana', 'Picea_glauca', 'Picea_torano']
225 :  ['Picea_rubens', 'Picea_schrenkiana', 'Picea_orientalis']
224 :  ['Aegilops_sharonensis', 'Aegilops_speltoides', 'Aegilops_comosa']
224 :  ['Picea_mexicana', 'Picea_glauca', 'Picea_torano']
224 :  ['Picea_breweriana', 'Picea_rubens', 'Pinus_sylvestris']
223 :  ['Aegilops_sharonensis', 'Aegilops_searsii']
223 :  ['Picea_rubens', 'Picea_alcoquiana', 'Picea_koyamae']
223 :  ['Picea_rubens', 'Picea_asperata']
222 :  ['Picea_rubens', 'Picea_koyamae']
221 :  ['Picea_rubens', 'Picea_alcoquiana']
221 :  ['Picea_rubens', 'Picea_koyamae', 'Picea_koraiensis']
220 :  ['Picea_mexicana', 'Picea_rubens']
220 :  ['Picea_rubens', 'Picea_retroflexa']
219 :  ['Aegilops_sharonensis', 'Aegilops_umbellulata', 'Triticum_urartu']
219 :  ['Picea_obovata', 'Picea_abies', 'Picea_torano']
219 :  ['Picea_rubens', 'Picea_orientalis', 'Picea_jezoensis']
218 :  ['Picea_glauca', 'Picea_alcoquiana', 'Picea_torano']
218 :  ['Picea_rubens', 'Picea_glehnii', 'Picea_koyamae']
218 :  ['Picea_rubens', 'Picea_maximowiczii']
217 :  ['Picea_abies', 'Picea_torano']
217 :  ['Picea_torano', 'Picea_orientalis', 'Picea_morrisonicola']
216 :  ['Picea_mexicana', 'Picea_rubens', 'Picea_asperata']
216 :  ['Picea_glauca', 'Picea_glehnii', 'Picea_torano']
216 :  ['Picea_rubens', 'Picea_alcoquiana', 'Picea_maximowiczii']
216 :  ['Picea_rubens', 'Picea_jezoensis']
215 :  ['Picea_obovata', 'Picea_torano']
215 :  ['Picea_rubens', 'Picea_schrenkiana', 'Pinus_sylvestris']
214 :  ['Picea_schrenkiana', 'Picea_torano', 'Picea_maximowiczii']
214 :  ['Picea_breweriana', 'Picea_rubens', 'Pinus_armandii']
213 :  ['Picea_chihuahuana', 'Picea_torano', 'Picea_orientalis']
213 :  ['Picea_breweriana', 'Picea_rubens', 'Picea_glehnii']
213 :  ['Picea_engelmannii', 'Picea_rubens', 'Pinus_armandii']
213 :  ['Picea_engelmannii', 'Picea_rubens', 'Pinus_sylvestris']
213 :  ['Picea_rubens', 'Picea_glehnii', 'Picea_pungens']
213 :  ['Picea_rubens', 'Picea_asperata', 'Picea_wilsonii']
212 :  ['Picea_rubens', 'Picea_wilsonii']
211 :  ['Picea_rubens', 'Picea_morrisonicola']
211 :  ['Picea_rubens', 'Pinus_mugo']
210 :  ['Picea_breweriana', 'Picea_rubens', 'Picea_koyamae']
210 :  ['Picea_rubens', 'Picea_smithiana']
210 :  ['Picea_rubens', 'Picea_koraiensis']
210 :  ['Picea_rubens', 'Larix_laricina']
209 :  ['Aegilops_sharonensis', 'Aegilops_searsii', 'Aegilops_markgrafii']
209 :  ['Picea_torano', 'Picea_jezoensis']
209 :  ['Picea_rubens', 'Picea_chihuahuana']
209 :  ['Picea_rubens']
208 :  ['Picea_rubens', 'Picea_obovata', 'Picea_jezoensis']
207 :  ['Picea_alcoquiana', 'Picea_abies', 'Picea_torano']
207 :  ['Picea_torano', 'Picea_maximowiczii', 'Picea_morrisonicola']
207 :  ['Picea_rubens', 'Picea_glehnii', 'Picea_jezoensis']
206 :  ['Picea_glauca', 'Picea_torano', 'Picea_jezoensis']
206 :  ['Picea_rubens', 'Picea_schrenkiana']
206 :  ['Picea_spinulosa', 'Picea_torano', 'Picea_maximowiczii']
205 :  ['Picea_alcoquiana', 'Picea_torano', 'Picea_jezoensis']
205 :  ['Picea_mexicana', 'Picea_engelmannii', 'Picea_rubens']
205 :  ['Picea_rubens', 'Picea_jezoensis', 'Pinus_sylvestris']
204 :  ['Aegilops_sharonensis', 'Aegilops_searsii', 'Aegilops_ventricosa']
203 :  ['Aegilops_sharonensis', 'Aegilops_searsii', 'Aegilops_umbellulata']
203 :  ['Picea_mexicana', 'Picea_rubens', 'Picea_schrenkiana']
203 :  ['Picea_breweriana', 'Picea_torano']
203 :  ['Picea_breweriana', 'Picea_rubens', 'Picea_maximowiczii']
202 :  ['Picea_breweriana', 'Picea_rubens', 'Picea_morrisonicola']
201 :  ['Aegilops_tauschii', 'Aegilops_sharonensis', 'Aegilops_uniaristata']
201 :  ['Aegilops_sharonensis', 'Aegilops_uniaristata', 'Aegilops_comosa']
200 :  ['Picea_breweriana', 'Picea_rubens']
200 :  ['Picea_rubens', 'Picea_schrenkiana', 'Picea_alcoquiana']
200 :  ['Picea_rubens', 'Picea_koyamae', 'Picea_jezoensis']
199 :  ['Heteranthelium_piliferum', 'Aegilops_speltoides']
199 :  ['Aegilops_sharonensis', 'Aegilops_speltoides', 'Triticum_urartu']
199 :  ['Picea_torano', 'Picea_brachytyla', 'Picea_morrisonicola']
199 :  ['Picea_breweriana', 'Picea_rubens', 'Larix_decidua']
199 :  ['Picea_breweriana', 'Picea_rubens', 'Picea_spinulosa']
198 :  ['Picea_alcoquiana', 'Picea_torano', 'Picea_pungens']
198 :  ['Picea_koyamae', 'Picea_torano']
198 :  ['Picea_rubens', 'Picea_koraiensis', 'Picea_chihuahuana']
197 :  ['Picea_engelmannii', 'Picea_rubens']
197 :  ['Picea_rubens', 'Picea_schrenkiana', 'Picea_wilsonii']
197 :  ['Picea_rubens', 'Picea_asperata', 'Picea_jezoensis']
196 :  ['Picea_alcoquiana', 'Picea_glehnii', 'Picea_torano']
196 :  ['Picea_glehnii', 'Picea_obovata', 'Picea_torano']
196 :  ['Picea_torano', 'Picea_morrisonicola']
196 :  ['Picea_rubens', 'Picea_schrenkiana', 'Picea_koraiensis']
196 :  ['Picea_rubens', 'Picea_maximowiczii', 'Picea_jezoensis']
195 :  ['Picea_mexicana', 'Picea_rubens', 'Picea_jezoensis']
195 :  ['Picea_breweriana', 'Picea_alcoquiana', 'Picea_torano']
194 :  ['Picea_torano']
193 :  ['Heteranthelium_piliferum', 'Aegilops_speltoides', 'Thinopyrum_bessarabicum']
191 :  ['Aegilops_sharonensis', 'Aegilops_speltoides', 'Aegilops_longissima']
191 :  ['Picea_rubens', 'Picea_alcoquiana', 'Picea_jezoensis']
190 :  ['Picea_rubens', 'Picea_wilsonii', 'Picea_jezoensis']
189 :  ['Aegilops_speltoides', 'Dasypyrum_villosum', 'Australopyrum_retrofractum']
189 :  ['Picea_glehnii', 'Picea_abies', 'Picea_torano']
189 :  ['Picea_rubens', 'Picea_schrenkiana', 'Picea_chihuahuana']
188 :  ['Aegilops_tauschii', 'Aegilops_sharonensis', 'Aegilops_umbellulata']
188 :  ['Aegilops_tauschii', 'Aegilops_sharonensis', 'Aegilops_ventricosa']
187 :  ['Aegilops_tauschii', 'Aegilops_sharonensis', 'Triticum_monococcum']
186 :  ['Aegilops_speltoides', 'Aegilops_searsii']
185 :  ['Aegilops_sharonensis', 'Aegilops_searsii', 'Aegilops_comosa']
184 :  ['Picea_breweriana', 'Picea_engelmannii', 'Picea_rubens']
184 :  ['Picea_engelmannii', 'Picea_rubens', 'Picea_jezoensis']
181 :  ['Picea_rubens', 'Picea_orientalis', 'Picea_mariana']
180 :  ['Aegilops_tauschii', 'Aegilops_sharonensis', 'Aegilops_comosa']
179 :  ['Picea_rubens', 'Picea_jezoensis', 'Picea_pungens']
178 :  ['Picea_rubens', 'Picea_schrenkiana', 'Picea_jezoensis']
177 :  ['Aegilops_speltoides', 'Aegilops_uniaristata', 'Dasypyrum_villosum']
175 :  ['Picea_chihuahuana', 'Picea_torano']
173 :  ['Picea_sitchensis', 'Picea_rubens', 'Picea_orientalis']
170 :  ['Picea_rubens', 'Picea_orientalis', 'Picea_pungens']
168 :  ['Hordeum_marinum', 'Aegilops_speltoides']
168 :  ['Aegilops_speltoides', 'Aegilops_longissima']
168 :  ['Picea_alcoquiana', 'Picea_chihuahuana', 'Picea_torano']
167 :  ['Aegilops_tauschii', 'Aegilops_sharonensis', 'Triticum_urartu']
166 :  ['Aegilops_speltoides', 'Amblyopyrum_muticum']
166 :  ['Aegilops_speltoides', 'Aegilops_umbellulata']
166 :  ['Cupressus_austrotibetica', 'Tetraclinis_articulata']
165 :  ['Aegilops_sharonensis', 'Aegilops_searsii', 'Triticum_urartu']
164 :  ['Aegilops_tauschii', 'Aegilops_sharonensis', 'Aegilops_speltoides']
164 :  ['Picea_sitchensis', 'Picea_rubens']
164 :  ['Picea_rubens', 'Picea_glehnii', 'Picea_mariana']
164 :  ['Picea_rubens', 'Picea_obovata', 'Picea_pungens']
163 :  ['Aegilops_speltoides', 'Aegilops_crassa', 'Aegilops_markgrafii']
163 :  ['Picea_rubens', 'Picea_pungens', 'Pinus_sylvestris']
162 :  ['Picea_glehnii', 'Picea_koyamae', 'Picea_torano']
161 :  ['Aegilops_speltoides', 'Aegilops_umbellulata', 'Aegilops_markgrafii']
161 :  ['Aegilops_speltoides', 'Aegilops_crassa']
161 :  ['Picea_rubens', 'Picea_koyamae', 'Picea_mariana']
160 :  ['Triticum_aestivum', 'Aegilops_speltoides', 'Aegilops_searsii']
160 :  ['Aegilops_speltoides', 'Aegilops_triuncialis', 'Aegilops_umbellulata']
